# 原位换掉的词（2026-09-24，用户：「很多中文不自然很奇怪」——HSK 大纲里那些临时拼出来的词组）
# 格式：词库下标|旧词|新词。build.py 读它生成 words-zh.js 里的 ZH_PAST，老存档码按旧词算校验照样读得回来。
# ⚠️ 以后再原位换词：往这里追加，别删旧行（YX2/YX3 老码要靠它对校验）
2699|车上|那边
2703|在家|笑
2742|正是|正好
2743|交给|怕
2755|送给|留
2763|大大|这么
2771|拿到|查
2777|走过|碰
2781|天上|雪
2794|送到|举
2799|走进|提
2808|拿出|占
2851|挺好|平
2852|找出|背
2923|赶到|管
2931|放到|救
3020|认出|修
3028|建成|谈
3049|推开|祝
3107|停下|戴
3116|手里|阳台
3149|眼里|辣
3164|台上|咸
3174|拉开|晒
3219|多种|厘米
3364|穿上|摇
3489|城里|屋
3588|递给|剪
3738|岸上|岸
3759|起到|滑
4195|查出|拖
4240|传出|踩
4265|拿走|煮
4662|更是|要不然
4774|园地|寺
4776|文娱|粥
4777|车号|壶
